Turn,EventType,Nation,Quantity,Type,Leader_Id,X,Y,Mode,Orientation
1,Reinforcement,f,0,x,Sou,0,62,c,0
1,Reinforcement,f,0,x,Nap,0,62,c,0
1,Replacement,r,1,i,x,0,0,x,0
1,Replacement,r,1,c,x,0,0,x,0
2,Reinforcement,f,0,x,Ber,0,78,c,0
3,Reinforcement,f,0,x,fMG_G,0,78,c,0
4,Reinforcement,f,0,x,Oud,0,78,c,0
4,Reinforcement,f,0,x,fMG_A,14,90,c,5
5,Replacement,r,3,i,x,0,0,x,0
5,Replacement,r,2,c,x,0,0,x,0
5,Replacement,f,2,i,x,0,0,x,0
6,Reinforcement,f,0,x,Seb,6,0,c,3
7,Reinforcement,f,0,x,fMG_B,0,62,c,0
8,Reinforcement,f,0,x,fMG_C,13,18,l,0
9,Replacement,r,4,i,x,0,0,x,0
9,Replacement,r,2,c,x,0,0,x,0
9,Replacement,f,1,i,x,0,0,x,0
9,Replacement,f,4,c,x,0,0,x,0
10,Reinforcement,f,0,x,Van,6,0,c,3
13,Replacement,r,3,i,x,0,0,x,0
13,Replacement,r,1,c,x,0,0,x,0
13,Replacement,f,4,i,x,0,0,x,0
13,Replacement,ig,2,c,x,0,0,x,0
17,Replacement,r,1,i,x,0,0,x,0
24,Replacement,p,3,i,x,0,0,x,0
26,Reinforcement,a,0,x,Schwarz,47,90,c,5
28,Reinforcement,f,0,x,Mur,56,69,l,5
28,Replacement,p,3,i,x,0,0,x,0
28,Replacement,f,7,i,x,0,0,x,0
28,Replacement,f,1,c,x,0,0,x,0
29,Reinforcement,s,0,x,Berna,0,0,c,0
33,Reinforcement,r,0,x,rMG_V,38,90,c,5
36,Replacement,r,2,i,x,0,0,x,0
36,Replacement,r,1,c,x,0,0,x,0
36,Replacement,a,2,i,x,0,0,x,0
36,Replacement,a,1,c,x,0,0,x,0
36,Replacement,f,2,i,x,0,0,x,0
36,Replacement,f,1,c,x,0,0,x,0
36,Replacement,p,3,i,x,0,0,x,0
36,Replacement,ig,1,i,x,0,0,x,0
36,Replacement,ig,3,i,x,0,0,x,0
38,Reinforcement,f,0,x,fMG_I,0,8,c,0
39,Reinforcement,r,0,x,Benn,68,3,c,3
40,Replacement,r,2,i,x,0,0,x,0
40,Replacement,r,1,c,x,0,0,x,0
40,Replacement,a,1,i,x,0,0,x,0
40,Replacement,a,1,c,x,0,0,x,0
40,Replacement,p,2,i,x,0,0,x,0
40,Replacement,p,1,c,x,0,0,x,0
40,Replacement,f,2,i,x,0,0,x,0
40,Replacement,f,1,c,x,0,0,x,0
42,DepotDown,f,0,x,Hof,0,0,x,0
42,DepotDown,f,0,x,Bautzen,0,0,x,0
42,DepotDown,f,0,x,Bunzlau,0,0,x,0
42,DepotDown,f,0,x,Goerlitz,0,0,x,0
42,DepotDown,f,0,x,Glogau,0,0,x,0
42,SupplySourceDown,f,0,x,Dresden,0,0,x,0
44,Reinforcement,f,0,x,Aug,0,78,c,0
44,Reinforcement,f,0,x,fMG_J,0,62,c,0
44,Replacement,r,2,i,x,0,0,x,0
44,Replacement,r,1,c,x,0,0,x,0
44,Replacement,p,2,i,x,0,0,x,0
44,Replacement,f,3,i,x,0,0,x,0
44,Replacement,f,1,c,x,0,0,x,0
45,Reinforcement,r,0,x,Wittg,47,90,c,5
46,Reinforcement,r,0,x,Konst,47,90,c,5
47,Reinforcement,a,0,x,Gyu,47,90,c,5
48,Replacement,r,2,i,x,0,0,x,0
48,Replacement,r,1,c,x,0,0,x,0
48,Replacement,a,2,i,x,0,0,x,0
48,Replacement,p,2,i,x,0,0,x,0
48,Replacement,p,1,c,x,0,0,x,0
48,Replacement,f,3,i,x,0,0,x,0
49,Reinforcement,a,0,x,Schwarz,47,90,c,5
51,GermanUnitsWithdrawn,g,0,x,NA,0,0,x,0
52,Replacement,a,2,i,x,0,0,x,0
52,Replacement,p,2,i,x,0,0,x,0
52,Replacement,f,3,c,x,0,0,x,0
